wind_direction_ctg,wind_speed_ctg,count,rate
N,"(0,2]",138678,0.0222272371889416
N,"(2,4]",249318,0.0399605584265172
N,"(4,Inf]",247433,0.0396584316140368
NNE,"(0,2]",370094,0.0593184724340137
NNE,"(2,4]",566285,0.0907638631328675
NNE,"(4,Inf]",312494,0.0500863746096794
NE,"(0,2]",495915,0.0794849963985202
NE,"(2,4]",644103,0.103236491405334
NE,"(4,Inf]",346399,0.0555206502474234
ENE,"(0,2]",346246,0.0554961274875775
ENE,"(2,4]",281659,0.0451441569636143
ENE,"(4,Inf]",233590,0.0374396828261503
E,"(0,2]",219237,0.0351391915054442
E,"(2,4]",172325,0.0276201607218475
E,"(4,Inf]",197028,0.0315795446203636
ESE,"(0,2]",79942,0.0128130618797385
ESE,"(2,4]",120677,0.019342046339361
ESE,"(4,Inf]",127630,0.0204564695368019
SE,"(0,2]",49954,0.0080066009499444
SE,"(2,4]",68405,0.0109639175637776
SE,"(4,Inf]",74121,0.0118800750492619
SSE,"(0,2]",44075,0.00706431790985305
SSE,"(2,4]",58749,0.00941625894239267
SSE,"(4,Inf]",60365,0.00967527057579761
S,"(0,2]",30984,0.00496609928800651
S,"(2,4]",40606,0.00650830840720347
S,"(4,Inf]",35531,0.00569489006591013
SSW,"(0,2]",18916,0.00303184657022757
SSW,"(2,4]",21792,0.00349281034353982
SSW,"(4,Inf]",27998,0.0044875047723214
SW,"(0,2]",19350,0.00310140786286232
SW,"(2,4]",34450,0.00552162795222774
SW,"(4,Inf]",54556,0.00874420709903444
WSW,"(0,2]",16846,0.00270006805466556
WSW,"(2,4]",23130,0.00370726428258426
WSW,"(4,Inf]",5825,0.000933627948381033
W,"(0,2]",15692,0.00251510553922664
W,"(2,4]",15713,0.00251847140822509
W,"(4,Inf]",1271,0.0002037152141446
WNW,"(0,2]",16774,0.00268852793238514
WNW,"(2,4]",23801,0.00381481181105871
WNW,"(4,Inf]",7401,0.00118622840274129
NW,"(0,2]",25562,0.0040970639685006
NW,"(2,4]",41592,0.00666634397065475
NW,"(4,Inf]",25089,0.00402125177629729
NNW,"(0,2]",57754,0.00925678086365634
NNW,"(2,4]",103805,0.0166378110183164
NNW,"(4,Inf]",69596,0.0111548104198329
